timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764561349059,175,1. Get Flights,200,OK,100 Concurrent Users 1-4,text,true,,101995,189,5,5,http://localhost:5000/api/flights?limit=100,174,0,39
1764561349037,197,1. Get Flights,200,OK,100 Concurrent Users 1-3,text,true,,101995,189,5,5,http://localhost:5000/api/flights?limit=100,190,0,61
1764561349037,209,1. Get Flights,200,OK,100 Concurrent Users 1-2,text,true,,101995,189,5,5,http://localhost:5000/api/flights?limit=100,208,0,61
1764561349158,128,1. Get Flights,200,OK,100 Concurrent Users 1-5,text,true,,101995,189,6,6,http://localhost:5000/api/flights?limit=100,128,0,2
1764561349257,93,1. Get Flights,200,OK,100 Concurrent Users 1-6,text,true,,101995,189,6,6,http://localhost:5000/api/flights?limit=100,93,0,2
1764561349037,329,1. Get Flights,200,OK,100 Concurrent Users 1-1,text,true,,101995,189,7,7,http://localhost:5000/api/flights?limit=100,328,0,61
1764561349237,131,2. Get Hotels,200,OK,100 Concurrent Users 1-4,text,true,,97440,197,7,7,http://localhost:5000/api/hotels?limit=100,121,0,2
1764561349369,34,3. Get Cars,200,OK,100 Concurrent Users 1-4,text,true,,82328,195,7,7,http://localhost:5000/api/cars?limit=100,33,0,1
1764561349237,170,2. Get Hotels,200,OK,100 Concurrent Users 1-3,text,true,,97440,197,6,6,http://localhost:5000/api/hotels?limit=100,169,0,2
1764561349359,54,1. Get Flights,200,OK,100 Concurrent Users 1-7,text,true,,101995,189,6,6,http://localhost:5000/api/flights?limit=100,53,0,1
1764561349408,35,3. Get Cars,200,OK,100 Concurrent Users 1-3,text,true,,82328,195,6,6,http://localhost:5000/api/cars?limit=100,34,0,1
1764561349247,198,2. Get Hotels,200,OK,100 Concurrent Users 1-2,text,true,,97440,197,5,5,http://localhost:5000/api/hotels?limit=100,197,0,2
1764561349287,179,2. Get Hotels,200,OK,100 Concurrent Users 1-5,text,true,,97440,197,6,6,http://localhost:5000/api/hotels?limit=100,179,0,1
1764561349445,40,3. Get Cars,200,OK,100 Concurrent Users 1-2,text,true,,82328,195,6,6,http://localhost:5000/api/cars?limit=100,39,0,2
1764561349458,65,1. Get Flights,200,OK,100 Concurrent Users 1-8,text,true,,101995,189,5,5,http://localhost:5000/api/flights?limit=100,64,0,1
1764561349467,58,3. Get Cars,200,OK,100 Concurrent Users 1-5,text,true,,82328,195,5,5,http://localhost:5000/api/cars?limit=100,58,0,2
1764561349351,224,2. Get Hotels,200,OK,100 Concurrent Users 1-6,text,true,,97440,197,5,5,http://localhost:5000/api/hotels?limit=100,223,0,1
1764561349367,225,2. Get Hotels,200,OK,100 Concurrent Users 1-1,text,true,,97440,197,5,5,http://localhost:5000/api/hotels?limit=100,224,0,1
1764561349414,191,2. Get Hotels,200,OK,100 Concurrent Users 1-7,text,true,,97440,197,5,5,http://localhost:5000/api/hotels?limit=100,191,0,2
1764561349558,55,1. Get Flights,200,OK,100 Concurrent Users 1-9,text,true,,101995,189,5,5,http://localhost:5000/api/flights?limit=100,55,0,2
1764561349576,42,3. Get Cars,200,OK,100 Concurrent Users 1-6,text,true,,82328,195,5,5,http://localhost:5000/api/cars?limit=100,41,0,2
1764561349525,134,2. Get Hotels,200,OK,100 Concurrent Users 1-8,text,true,,97440,197,5,5,http://localhost:5000/api/hotels?limit=100,134,0,1
